-1.48	1	0.37	-0.301156	-0.440484	-0.0556643	0.330739	0.279108	-0.104769
-1.44	1	0.36	-0.312161	-0.435249	-0.035943	0.340422	0.262081	-0.130704
-1.4	1	0.35	-0.322864	-0.429466	-0.0163009	0.34887	0.243948	-0.155599
-1.36	1	0.34	-0.333266	-0.423149	0.00322339	0.356076	0.224808	-0.17932
-1.32	1	0.33	-0.343367	-0.416315	0.0225927	0.362039	0.204761	-0.201744
-1.28	1	0.32	-0.353166	-0.408978	0.0417706	0.366757	0.183909	-0.222754
-1.24	1	0.31	-0.362663	-0.401154	0.0607221	0.370234	0.162355	-0.242248
-1.2	1	0.3	-0.371859	-0.392858	0.079413	0.372476	0.140204	-0.26013
-1.16	1	0.29	-0.380754	-0.384105	0.0978103	0.373493	0.117559	-0.276317
-1.12	1	0.28	-0.389347	-0.374911	0.115882	0.373297	0.0945236	-0.290738
-1.08	1	0.27	-0.397638	-0.36529	0.133598	0.371904	0.0712014	-0.30333
-1.04	1	0.26	-0.405628	-0.355258	0.150927	0.369332	0.047695	-0.314042
-1	1	0.25	-0.413317	-0.34483	0.167842	0.365602	0.024106	-0.322834
-0.96	1	0.24	-0.420704	-0.334022	0.184314	0.360736	0.000534519	-0.329676
-0.92	1	0.23	-0.427789	-0.322848	0.200317	0.354762	-0.0229208	-0.334551
-0.88	1	0.22	-0.434573	-0.311323	0.215826	0.347706	-0.0461633	-0.33745
-0.84	1	0.21	-0.441055	-0.299464	0.230817	0.339601	-0.0690985	-0.338374
-0.8	1	0.2	-0.447236	-0.287285	0.245265	0.330479	-0.0916345	-0.337337
-0.76	1	0.19	-0.453116	-0.274801	0.259149	0.320374	-0.113682	-0.334361
-0.72	1	0.18	-0.458693	-0.262028	0.272448	0.309323	-0.135154	-0.329478
-0.68	1	0.17	-0.46397	-0.248981	0.285142	0.297365	-0.155967	-0.322729
-0.64	1	0.16	-0.468945	-0.235675	0.297212	0.284542	-0.176042	-0.314164
-0.6	1	0.15	-0.473618	-0.222126	0.308639	0.270894	-0.195302	-0.303842
-0.56	1	0.14	-0.47799	-0.208348	0.319408	0.256465	-0.213674	-0.291832
-0.52	1	0.13	-0.48206	-0.194357	0.329503	0.241302	-0.23109	-0.278207
-0.48	1	0.12	-0.485829	-0.180168	0.338908	0.22545	-0.247484	-0.263052
-0.44	1	0.11	-0.489296	-0.165796	0.34761	0.208958	-0.262795	-0.246455
-0.4	1	0.1	-0.492462	-0.151256	0.355598	0.191875	-0.276969	-0.228513
-0.36	1	0.09	-0.495327	-0.136565	0.362859	0.174251	-0.289951	-0.209329
-0.32	1	0.08	-0.497889	-0.121736	0.369383	0.156137	-0.301696	-0.18901
-0.28	1	0.07	-0.500151	-0.106785	0.375162	0.137586	-0.312161	-0.16767
-0.24	1	0.06	-0.502111	-0.0917283	0.380186	0.11865	-0.321307	-0.145425
-0.2	1	0.05	-0.503769	-0.0765799	0.384449	0.0993836	-0.329103	-0.122399
-0.16	1	0.04	-0.505126	-0.0613553	0.387945	0.0798402	-0.33552	-0.0987154
-0.12	1	0.03	-0.506181	-0.0460697	0.39067	0.0600749	-0.340534	-0.0745027
-0.08	1	0.02	-0.506935	-0.0307385	0.392618	0.0401427	-0.344129	-0.049891
-0.04	1	0.01	-0.507387	-0.0153769	0.393789	0.0200992	-0.346291	-0.0250124
0	1	-3.42457e-17	-0.507538	-1.79596e-16	0.394179	3.20025e-16	-0.347012	-1.0934e-16
0.04	1	-0.01	-0.507387	0.0153769	0.393789	-0.0200992	-0.346291	0.0250124
0.08	1	-0.02	-0.506935	0.0307385	0.392618	-0.0401427	-0.344129	0.049891
0.12	1	-0.03	-0.506181	0.0460697	0.39067	-0.0600749	-0.340534	0.0745027
0.16	1	-0.04	-0.505126	0.0613553	0.387945	-0.0798402	-0.33552	0.0987154
0.2	1	-0.05	-0.503769	0.0765799	0.384449	-0.0993836	-0.329103	0.122399
